Date,Close
29-Jun-18,194.32
28-Jun-18,196.23
27-Jun-18,195.84
26-Jun-18,199
25-Jun-18,196.35
22-Jun-18,201.74
21-Jun-18,201.5
20-Jun-18,202
19-Jun-18,197.49
18-Jun-18,198.31
15-Jun-18,195.85
14-Jun-18,196.81
13-Jun-18,192.41
12-Jun-18,192.4
11-Jun-18,191.54
08-Jun-18,189.1
07-Jun-18,188.18
06-Jun-18,191.34
05-Jun-18,192.94
04-Jun-18,193.28
01-Jun-18,193.99
31-May-18,191.78
30-May-18,187.67
29-May-18,185.74
25-May-18,184.92
24-May-18,185.93
23-May-18,186.9
22-May-18,183.8
21-May-18,184.49
18-May-18,182.68
17-May-18,183.76
16-May-18,183.2
15-May-18,184.32
14-May-18,186.64
11-May-18,186.99
10-May-18,185.53
09-May-18,182.66
08-May-18,178.92
07-May-18,177.97
04-May-18,176.61
03-May-18,174.02
02-May-18,176.07
01-May-18,173.86
30-Apr-18,172
27-Apr-18,173.59
26-Apr-18,174.16
25-Apr-18,159.69
24-Apr-18,159.69
23-Apr-18,165.84
20-Apr-18,166.28
19-Apr-18,168.1
18-Apr-18,166.36
17-Apr-18,168.66
16-Apr-18,164.83
13-Apr-18,164.52
12-Apr-18,163.87
11-Apr-18,166.32
10-Apr-18,165.04
09-Apr-18,157.93
06-Apr-18,157.2
05-Apr-18,159.34
04-Apr-18,155.1
03-Apr-18,156.11
02-Apr-18,155.39
29-Mar-18,159.79
28-Mar-18,153.03
27-Mar-18,152.22
26-Mar-18,160.06
23-Mar-18,159.39
22-Mar-18,164.89
21-Mar-18,169.39
20-Mar-18,168.15
19-Mar-18,172.56
16-Mar-18,185.09
15-Mar-18,183.86
14-Mar-18,184.19
13-Mar-18,181.88
12-Mar-18,184.76
09-Mar-18,185.23
08-Mar-18,182.34
07-Mar-18,183.71
06-Mar-18,179.78
05-Mar-18,180.4
02-Mar-18,176.62
01-Mar-18,175.94
28-Feb-18,178.32
27-Feb-18,181.46
26-Feb-18,184.93
23-Feb-18,183.29
22-Feb-18,178.99
21-Feb-18,177.91
20-Feb-18,176.01
16-Feb-18,177.36
15-Feb-18,179.96
14-Feb-18,179.52
13-Feb-18,173.15
12-Feb-18,176.41
09-Feb-18,176.11
08-Feb-18,171.58
07-Feb-18,180.18
06-Feb-18,185.31
05-Feb-18,181.26
02-Feb-18,190.28
01-Feb-18,193.09
31-Jan-18,186.89
30-Jan-18,187.12
29-Jan-18,185.98
26-Jan-18,190
25-Jan-18,187.48
24-Jan-18,186.55
23-Jan-18,189.35
22-Jan-18,185.37
19-Jan-18,181.29
18-Jan-18,179.8
17-Jan-18,177.6
16-Jan-18,178.39
12-Jan-18,179.37
11-Jan-18,187.77
10-Jan-18,187.84
09-Jan-18,187.87
08-Jan-18,188.28
05-Jan-18,186.85
04-Jan-18,184.33
03-Jan-18,184.67
02-Jan-18,181.42
