date,TICKER,PRC,SHROUT
20151231,MSFT,55.48,7925000
20151231,KO,42.96,4348985
20151231,XOM,77.95,4162939
20151231,GE,31.15,10109239
20151231,IBM,137.62,970110
20151231,CVX,89.96,1882037
20151231,AAPL,105.26,5544487
20151231,UTX,96.07,887021
20151231,PG,79.41,2720573
20151231,CAT,67.96,582234
20151231,BA,144.59,669984
20151231,PFE,32.28,6173503
20151231,JNJ,102.72,2766944
20151231,MMM,150.64,615713
20151231,MRK,52.82,2793543
20151231,DIS,105.08,1653178
20151231,MCD,118.14,918230
20151231,JPM,66.03,3681130
20151231,WMT,61.3,3201893
20151231,NKE,62.5,1356000
20151231,AXP,69.55,984246
20151231,INTC,34.45,4725000
20151231,TRV,112.86,304219
20151231,VZ,46.22,4068873
20151231,HD,132.25,1267881
20151231,C,51.75,2978990
20151231,CSCO,27.155,5076079
20151231,GS,180.23,426536
20151231,V,77.55,1935671
20151231,UNH,117.64,953108
